PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;8;1;28079008_1_38;2020;04;28;00008;V;00008;V;00007;V;00008;V;00007;V;00008;V;00007;V;00007;V;00007;V;00008;V;00008;V;00008;V;00007;V;00007;V;00008;V;00007;V;00007;V;00007;V;00007;V;00007;N;00008;V;00008;V;00000;N;00000;N
28;079;8;6;28079008_6_48;2020;04;28;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;N;000.2;V;000.2;V;00000;N;00000;N
28;079;8;7;28079008_7_8;2020;04;28;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00005;V;00004;V;00003;V;00002;V;00002;V;00002;V;00002;V;00001;V;00001;V;00001;V;00002;V;00001;N;00001;V;00001;V;00000;N;00000;N
28;079;8;8;28079008_8_8;2020;04;28;00011;V;00011;V;00010;V;00010;V;00010;V;00009;V;00012;V;00021;V;00032;V;00027;V;00025;V;00018;V;00019;V;00019;V;00017;V;00014;V;00013;V;00012;V;00013;V;00014;N;00013;V;00014;V;00000;N;00000;N
28;079;8;9;28079008_9_47;2020;04;28;00011;V;00006;V;00005;V;00004;V;00008;V;00004;V;00006;V;00002;V;00008;V;00008;V;00007;V;00003;V;00010;V;00009;V;00002;V;00002;V;00003;V;00003;V;00008;V;00009;N;00007;V;00002;V;00000;N;00000;N
28;079;8;10;28079008_10_47;2020;04;28;00012;V;00008;V;00007;V;00006;V;00010;V;00006;V;00008;V;00005;V;00015;V;00014;V;00011;V;00005;V;00014;V;00022;V;00005;V;00005;V;00005;V;00005;V;00009;V;00016;N;00012;V;00005;V;00000;N;00000;N
28;079;8;12;28079008_12_8;2020;04;28;00012;V;00012;V;00012;V;00012;V;00011;V;00010;V;00014;V;00024;V;00039;V;00033;V;00030;V;00021;V;00022;V;00023;V;00019;V;00016;V;00014;V;00013;V;00015;V;00016;N;00015;V;00015;V;00000;N;00000;N
28;079;8;14;28079008_14_6;2020;04;28;68.90;V;70.13;V;69.10;V;64.65;V;63.50;V;62.03;V;52.03;V;39.37;V;37.69;V;50.66;V;55.65;V;68.93;V;69.08;V;74.63;V;79.65;V;81.38;V;82.02;V;81.03;V;78.60;V;76.17;N;75.29;V;70.39;V;00000;N;00000;N
28;079;8;20;28079008_20_59;2020;04;28;000.4;V;000.5;V;000.3;V;000.3;V;000.4;V;000.4;V;000.5;V;000.5;V;000.6;V;000.7;V;000.9;V;000.6;V;000.5;V;000.5;V;000.5;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;N;000.3;V;000.4;V;00000;N;00000;N
28;079;8;30;28079008_30_59;2020;04;28;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.2;N;000.2;V;000.2;V;00000;N;00000;N
28;079;8;35;28079008_35_59;2020;04;28;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.3;V;000.4;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;N;000.3;V;000.3;V;00000;N;00000;N
28;079;8;42;28079008_42_2;2020;04;28;01.35;V;01.35;V;01.34;V;01.35;V;01.35;V;01.35;V;01.36;V;01.36;V;01.36;V;01.36;V;01.36;V;01.33;V;01.33;V;01.33;V;01.33;V;01.33;V;01.33;V;01.33;V;01.33;V;01.33;N;01.32;V;01.33;V;00000;N;00000;N
28;079;8;43;28079008_43_2;2020;04;28;01.27;V;01.27;V;01.27;V;01.27;V;01.27;V;01.28;V;01.28;V;01.29;V;01.29;V;01.28;V;01.27;V;01.26;V;01.25;V;01.25;V;01.25;V;01.25;V;01.25;V;01.25;V;01.25;V;01.25;N;01.25;V;01.26;V;00000;N;00000;N
28;079;8;44;28079008_44_2;2020;04;28;00.08;V;00.08;V;00.07;V;00.07;V;00.07;V;00.07;V;00.08;V;00.08;V;00.08;V;00.08;V;00.09;V;00.07;V;00.08;V;00.08;V;00.08;V;00.08;V;00.08;V;00.08;V;00.08;V;00.08;N;00.07;V;00.07;V;00000;N;00000;N
28;079;11;7;28079011_7_8;2020;04;28;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00007;V;00005;V;00008;V;00008;V;00004;V;00004;V;00003;V;00002;V;00002;V;00002;V;00001;V;00001;V;00001;V;00000;N;00000;N
28;079;11;8;28079011_8_8;2020;04;28;00008;V;00007;V;00006;V;00006;V;00005;V;00006;V;00009;V;00021;V;00025;V;00026;V;00021;V;00022;V;00024;V;00013;V;00014;V;00010;V;00008;V;00008;V;00008;V;00006;V;00009;V;00010;V;00000;N;00000;N
